time,x,y,z,isActive
10.0000,-8.4241,-49.0000,-8.3105101010.0200,-8.4241,-49.0000,-8.10.010.010.0400,-8.4241,-49.000010.06010.06010.0600,-8.4241,-49.10.0800,10.0800,10.0800,-8.4241,10.1000,5.10.1000,4.10.1000,-8.410.1200,5.7210.1200,4.4510.1200,10.1400,5.723210.1400,4.452910.110.1600,5.7232,110.1600,4.4529,-10.1800,5.7232,1.010.1800,4.452910.2000,5.7232,1.00010.2000,4.4510.2200,5.7232,1.0000,10.2200,4.10.2400,5.7232,1.0000,2.10.2400,10.2600,5.7232,1.0000,2.7710.26010.2800,5.7232,1.0000,2.776810.210.3000,5.7232,1.0000,2.7768,11010.3200,5.7232,1.0000,2.7768,1
10.3400,5.7232,1.0000,2.7768,1
10.3600,5.7232,1.0000,2.7768,1
10.3800,5.7232,1.0000,2.7768,1
10.4000,5.7232,1.0000,2.7768,1
10.4200,5.7232,1.0000,2.7768,1
10.4400,5.7232,1.0000,2.7768,1
10.4600,5.7232,1.0000,2.7768,1
10.4800,5.7232,1.0000,2.7768,1
10.5000,5.7232,1.0000,2.7768,1
10.5200,5.7232,1.0000,2.7768,1
10.5400,5.7232,1.0000,2.7768,1
10.5600,5.7232,1.0000,2.7768,1
10.5800,5.7232,1.0000,2.7768,1
10.6000,5.7232,1.0000,2.7768,1
10.6200,5.7232,1.0000,2.7768,1
10.6400,5.7232,1.0000,2.7768,1
10.6600,5.7232,1.0000,2.7768,1
10.6800,5.7232,1.0000,2.7768,1
10.7000,5.7232,1.0000,2.7768,1
10.7200,5.7232,1.0000,2.7768,1
10.7400,5.7232,1.0000,2.7768,1
10.7600,5.7232,1.0000,2.7768,1
10.7800,5.7232,1.0000,2.7768,1
10.8000,5.7232,1.0000,2.7768,1
10.8200,5.7232,1.0000,2.7768,1
10.8400,5.7232,1.0000,2.7768,1
10.8600,5.7232,1.0000,2.7768,1
10.8800,5.7232,1.0000,2.7768,1
10.9000,5.7232,1.0000,2.7768,1
10.9200,5.7232,1.0000,2.7768,1
10.9400,5.7232,1.0000,2.7768,1
10.9600,5.7232,1.0000,2.7768,1
10.9800,5.7232,1.0000,2.7768,1
11.0000,5.7232,1.0000,2.7768,1
11.0200,5.7232,1.0000,2.7768,1
11.0400,5.7232,1.0000,2.7768,1
11.0600,5.7232,1.0000,2.7768,1
11.0800,5.7232,1.0000,2.7768,1
11.1000,5.7232,1.0000,2.7768,1
11.1200,5.7232,1.0000,2.7768,1
11.1400,5.7232,1.0000,2.7768,1
11.1600,5.7232,1.0000,2.7768,1
11.1800,5.7232,1.0000,2.7768,1
11.2000,5.7232,1.0000,2.7768,1
11.2200,5.7232,1.0000,2.7768,1
11.2400,5.7232,1.0000,2.7768,1
11.2600,5.7232,1.0000,2.7768,1
11.2800,5.7232,1.0000,2.7768,1
11.3000,5.7232,1.0000,2.7768,1
11.3200,5.7232,1.0000,2.7768,1
11.3400,5.7232,1.0000,2.7768,1
11.3600,5.7232,1.0000,2.7768,1
11.3800,5.7232,1.0000,2.7768,1
11.4000,5.7232,1.0000,2.7768,1
11.4200,5.7232,1.0000,2.7768,1
11.4400,5.7232,1.0000,2.7768,1
11.4600,5.7232,1.0000,2.7768,1
11.4800,5.7232,1.0000,2.7768,1
11.5000,5.7232,1.0000,2.7768,1
11.5200,5.7232,1.0000,2.7768,1
11.5400,5.7232,1.0000,2.7768,1
11.5600,5.7232,1.0000,2.7768,1
11.5800,5.7232,1.0000,2.7768,1
11.6000,5.7232,1.0000,2.7768,1
11.6200,5.7232,1.0000,2.7768,1
11.6400,5.7232,1.0000,2.7768,1
11.6600,5.7232,1.0000,2.7768,1
11.6800,5.7232,1.0000,2.7768,1
11.7000,5.7232,1.0000,2.7768,1
11.7200,5.7232,1.0000,2.7768,1
11.7400,5.7232,1.0000,2.7768,1
11.7600,5.7232,1.0000,2.7768,1
11.7800,5.7232,1.0000,2.7768,1
11.8000,5.7232,1.0000,2.7768,1
11.8200,5.7232,1.0000,2.7768,1
11.8400,5.7232,1.0000,2.7768,1
11.8600,5.7232,1.0000,2.7768,1
11.8800,5.7232,1.0000,2.7768,1
11.9000,5.7232,1.0000,2.7768,1
11.9200,5.7232,1.0000,2.7768,1
11.9400,5.7232,1.0000,2.7768,1
11.9600,5.7232,1.0000,2.7768,1
11.9800,5.7232,1.0000,2.7768,1
12.0000,5.7232,1.0000,2.7768,1
12.0200,5.7232,1.0000,2.7768,1
12.0400,5.7232,1.0000,2.7768,1
12.0600,5.7232,1.0000,2.7768,1
12.0800,5.7232,1.0000,2.7768,1
12.1000,5.7232,1.0000,2.7768,1
12.1200,5.7232,1.0000,2.7768,1
12.1400,5.7232,1.0000,2.7768,1
12.1600,5.7232,1.0000,2.7768,1
12.1800,5.7232,1.0000,2.7768,1
12.2000,5.7232,1.0000,2.7768,1
12.2200,5.7232,1.0000,2.7768,1
12.2400,5.7232,1.0000,2.7768,1
12.2600,5.7232,1.0000,2.7768,1
12.2800,5.7232,1.0000,2.7768,1
12.3000,5.7232,1.0000,2.7768,1
12.3200,5.7232,1.0000,2.7768,1
12.3400,5.7232,1.0000,2.7768,1
12.3600,5.7232,1.0000,2.7768,1
12.3800,5.7232,1.0000,2.7768,1
12.4000,5.7232,1.0000,2.7768,1
12.4200,5.7232,1.0000,2.7768,1
12.4400,5.7232,1.0000,2.7768,1
12.4600,5.7232,1.0000,2.7768,1
12.4800,5.7232,1.0000,2.7768,1
12.5000,5.7232,1.0000,2.7768,1
12.5200,5.7232,1.0000,2.7768,1
12.5400,5.7232,1.0000,2.7768,1
12.5600,5.7232,1.0000,2.7768,1
12.5800,5.7232,1.0000,2.7768,1
12.6000,5.7232,1.0000,2.7768,1
12.6200,5.7232,1.0000,2.7768,1
12.6400,5.7232,1.0000,2.7768,1
12.6600,5.7232,1.0000,2.7768,1
12.6800,5.7232,1.0000,2.7768,1
12.7000,5.7232,1.0000,2.7768,1
12.7200,5.7232,1.0000,2.7768,1
12.7400,5.7232,1.0000,2.7768,1
12.7600,5.7232,1.0000,2.7768,1
12.7800,5.7232,1.0000,2.7768,1
12.8000,5.7232,1.0000,2.7768,1
12.8200,5.7232,1.0000,2.7768,1
12.8400,5.7232,1.0000,2.7768,1
12.8600,5.7232,1.0000,2.7768,1
12.8800,5.7232,1.0000,2.7768,1
12.9000,5.7232,1.0000,2.7768,1
12.9200,5.7232,1.0000,2.7768,1
12.9400,5.7232,1.0000,2.7768,1
12.9600,5.7232,1.0000,2.7768,1
12.9800,5.7232,1.0000,2.7768,1
13.0000,5.7232,1.0000,2.7768,1
13.0200,5.7232,1.0000,2.7768,1
13.0400,5.7232,1.0000,2.7768,1
13.0600,5.7232,1.0000,2.7768,1
13.0800,5.7232,1.0000,2.7768,1
13.1000,5.7232,1.0000,2.7768,1
13.1200,5.7232,1.0000,2.7768,1
13.1400,5.7232,1.0000,2.7768,1
13.1600,5.7232,1.0000,2.7768,1
13.1800,5.7232,1.0000,2.7768,1
13.2000,5.7232,1.0000,2.7768,1
13.2200,5.7232,1.0000,2.7768,1
13.2400,5.7232,1.0000,2.7768,1
13.2600,5.7232,1.0000,2.7768,1
13.2800,5.7232,1.0000,2.7768,1
13.3000,5.7232,1.0000,2.7768,1
13.3200,5.7232,1.0000,2.7768,1
13.3400,5.7232,1.0000,2.7768,1
13.3600,5.7232,1.0000,2.7768,1
13.3800,5.7232,1.0000,2.7768,1
13.4000,5.7232,1.0000,2.7768,1
