time,x,y,z,isActive
159.9999,6.7997,-49.0000,9.6873,1
160.0199,6.7997,-49.0000,9.6873,1
160.0399,6.7997,-49.0000,9.6873,1
160.0599,6.7997,-49.0000,9.6873,1
160.0799,6.7997,-49.0000,9.6873,1
160.0999,6.7997,-49.0000,9.6873,1
160.1199,6.7997,-49.0000,9.6873,1
160.1399,6.7997,-49.0000,9.6873,1
160.1599,6.7997,-49.0000,9.6873,1
160.1799,6.7997,-49.0000,9.6873,1
160.1999,6.7997,-49.0000,9.6873,1
160.2199,6.7997,-49.0000,9.6873,1
160.2399,6.7997,-49.0000,9.6873,1
160.2599,6.7997,-49.0000,9.6873,1
160.2799,6.7997,-49.0000,9.6873,1
160.2999,6.7997,-49.0000,9.6873,1
160.3199,6.7997,-49.0000,9.6873,1
160.3400,6.7997,-49.0000,9.6873,1
160.3599,6.7997,-49.0000,9.6873,1
160.3799,6.7997,-49.0000,9.6873,1
160.3999,6.7997,-49.0000,9.6873,1
160.4199,6.7997,-49.0000,9.6873,1
160.4399,6.7997,-49.0000,9.6873,1
160.4599,6.7997,-49.0000,9.6873,1
160.4799,6.7997,-49.0000,9.6873,1
160.4999,6.7997,-49.0000,9.6873,1
160.5199,6.7997,-49.0000,9.6873,1
160.5399,6.7997,-49.0000,9.6873,1
160.5599,6.7997,-49.0000,9.6873,1
160.5799,6.7997,-49.0000,9.6873,1
160.5999,6.7997,-49.0000,9.6873,1
160.6199,6.7997,-49.0000,9.6873,1
160.6399,6.7997,-49.0000,9.6873,1
160.6599,6.7997,-49.0000,9.6873,1
160.6799,6.7997,-49.0000,9.6873,1
160.6999,6.7997,-49.0000,9.6873,1
160.7199,6.7997,-49.0000,9.6873,1
160.7399,6.7997,-49.0000,9.6873,1
160.7599,6.7997,-49.0000,9.6873,1
160.7799,6.7997,-49.0000,9.6873,1
160.7999,6.7997,-49.0000,9.6873,1
160.8199,6.7997,-49.0000,9.6873,1
160.8400,6.7997,-49.0000,9.6873,1
160.8599,6.7997,-49.0000,9.6873,1
160.8799,6.7997,-49.0000,9.6873,1
160.8999,6.7997,-49.0000,9.6873,1
160.9199,6.7997,-49.0000,9.6873,1
160.9399,6.7997,-49.0000,9.6873,1
160.9599,6.7997,-49.0000,9.6873,1
160.9799,6.7997,-49.0000,9.6873,1
160.9999,6.7997,-49.0000,9.6873,1
161.0199,6.7997,-49.0000,9.6873,1
161.0399,6.7997,-49.0000,9.6873,1
161.0599,6.7997,-49.0000,9.6873,1
161.0799,6.7997,-49.0000,9.6873,1
161.0999,6.7997,-49.0000,9.6873,1
161.1199,6.7997,-49.0000,9.6873,1
