time,x,y,z,isActive
50.0000,-2.6355,-49.0000,-2.6950,55050.0200,-2.6355,-49.0000,-2.695050.050.0400,-2.6355,-49.0000,-250.50.06050.0600,-2.5860,-49.000050.050.0800,50.0800,-2.4981,-49.050.1050.1000,-150.1000,-2.3796,-450.12050.1200,-1.550.1200,-2.236050.140050.1400,-1.55050.1400,-2.050.1600,50.1600,-1.6050.50.1600,-50.1800,450.1800,-1.62150.150.18050.2000,4.50.2000,-1.560850.2050.50.2200,3.850.2200,-1.4461,50.22050.2400,3.6250.2400,-1.2889,150.250.2600,3.46050.2600,-1.1261,1.5050.2800,3.344150.2800,-0.9613,1.050.3000,3.2644,50.3000,-0.7969,1.50.3200,3.2123,-50.3200,-0.6347,150.3400,3.1817,-950.3400,-0.4760,50.3600,3.1609,-9.50.3600,-0.368450.3800,3.2349,-9.050.3800,-0.20350.4000,3.3732,-9.0050.4000,0.00050.4200,3.4610,-9.0050.4200,0.23050.4400,3.5911,-9.0050.4400,0.47850.4600,3.7479,-9.0050.4600,0.73950.4800,3.8537,-9.0050.4800,0.91650.5000,3.9903,-9.0050.5000,0.96750.5200,4.1242,-9.0050.5200,0.94050.5400,4.2540,-9.0050.5400,0.86450.5600,4.3775,-9.0050.5600,0.75950.5800,4.4924,-9.0050.5800,0.64050.6000,4.6548,-9.0050.6000,0.50250.6200,4.8527,-9.0050.6200,0.35450.6400,5.0771,-9.0050.6400,0.20350.6600,5.3216,-9.0050.6600,0.05250.6800,5.5814,-9.0050.6800,-0.0950.7000,5.6601,-9.00050.7000,-0.250.7200,5.6176,-9.000050.7200,-0.50.7400,5.4929,-9.0000,50.7400,-050.7600,5.3121,-9.0000,950.7600,-50.7800,5.0933,-9.0000,9.50.7800,50.8000,5.0386,-9.0000,9.650.800050.8200,5.0929,-9.0000,9.5750.82050.8400,5.2215,-9.0000,9.51450.8450.8600,5.4008,-9.0000,9.442250.850.8800,5.6148,-9.0000,9.3629,50.50.9000,5.6680,-9.0000,9.2777,15050.9200,5.6123,-9.0000,9.1918,1550.9400,5.4817,-9.0000,9.1077,1
50.9600,5.2989,-9.0000,9.0279,1
50.9800,5.0798,-9.0000,8.9539,1
51.0000,5.0270,-9.0000,8.9264,1
51.0200,5.0849,-9.0000,8.9245,1
51.0400,5.2197,-9.0000,8.9346,1
51.0600,5.4077,-9.0000,8.9478,1
51.0800,5.6323,-9.0000,8.9578,1
51.1000,5.8680,-9.0000,9.0150,1
51.1200,6.1091,-9.0000,9.1076,1
51.1400,6.3517,-9.0000,9.2277,1
51.1600,6.5930,-9.0000,9.3697,1
51.1800,6.8309,-9.0000,9.5298,1
51.2000,6.8968,-9.0000,9.6179,1
51.2200,6.8471,-9.0000,9.6605,1
51.2400,6.7181,-9.0000,9.6767,1
51.2600,6.5344,-9.0000,9.6787,1
51.2800,6.3128,-9.0000,9.6746,1
51.3000,6.0678,-9.0000,9.6491,1
51.3200,5.8067,-9.0000,9.6090,1
51.3400,5.5346,-9.0000,9.5592,1
51.3600,5.2548,-9.0000,9.5030,1
51.3800,4.9697,-9.0000,9.4424,1
51.4000,4.6786,-9.0000,9.3944,1
51.4200,4.3834,-9.0000,9.3573,1
51.4400,4.0851,-9.0000,9.3297,1
51.4600,3.7848,-9.0000,9.3111,1
51.4800,3.4832,-9.0000,9.3007,1
