episode_index,episode_steps,episode_duration_steps,episode_duration_seconds,outcome,outcome_seekers,outcome_hiders,winner,hidersCaptured,stepsHidden,timeHidden,hidersPerfectGame,gracePeriodEnded
2,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
3,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
4,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,28,0.047,False,True
5,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,6,0.010,False,True
6,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
7,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,19,0.032,False,True
8,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
9,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,88,0.147,False,True
10,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
11,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
12,1000,1000,20.000,Timeout,Timeout,Timeout,None,0,0,0.000,False,True
