time,x,y,z,isActive
299.9999,-0.1147,-39.0000,0.3117,1
3300.0199,-0.1147,-39.0000,0.3117,130300.0399,-0.1147,-39.0000,0.3117,300300.0599,-0.1147,-39.0000,0.3117300.300.0799,-0.1147,-39.0000,0.311300.0300.0999,-0.1147,-39.0000,0.31300.11300.1199,-0.1147,-39.0000,0.3300.139300.1399,-0.1147,-39.0000,0.300.1599300.1599,-0.1147,-39.0000,0300.1799,300.1799,-0.1147,-39.0000,300.1999,3300.1999,-0.1147,-39.0000300.2199,3.300.2199,-0.1147,-39.000300.2399,3.3300.2399,-0.1147,-39.00300.2599,3.33300.2599,-0.1147,-39.0300.2799,3.335300.2799,-0.1147,-39.300.2999,3.3352300.2999,-0.1147,-39300.3199,3.3352,300.3199,-0.1147,-3300.3399,3.3352,-300.3399,-0.1147,-300.3599,3.3352,-1300.3599,-0.1147,300.3799,3.3352,-19300.3799,-0.1147300.3999,3.3352,-19.300.3999,-0.114300.4199,3.3352,-19.0300.4199,-0.11300.4399,3.3352,-19.00300.4399,-0.1300.4599,3.3352,-19.000300.4599,-0.300.4799,3.3352,-19.0000300.4799,-0300.4999,3.3352,-19.0000,300.4999,-300.5199,3.3352,-19.0000,0300.5199,300.5399,3.3352,-19.0000,0.300.5399300.5599,3.3352,-19.0000,0.8300.559300.5799,3.3352,-19.0000,0.89300.57300.5999,3.3352,-19.0000,0.894300.5300.6199,3.3352,-19.0000,0.8940300.300.6399,3.3352,-19.0000,0.8940,300300.6599,3.3352,-19.0000,0.8940,130300.6799,3.3352,-19.0000,0.8940,1
3300.6999,3.3352,-19.0000,0.8940,1
300.7199,3.3352,-19.0000,0.8940,1
300.7399,3.3352,-19.0000,0.8940,1
300.7599,3.3352,-19.0000,0.8940,1
300.7799,3.3352,-19.0000,0.8940,1
300.7999,3.3352,-19.0000,0.8940,1
300.8199,3.3352,-19.0000,0.8940,1
300.8399,3.3352,-19.0000,0.8940,1
300.8599,3.3352,-19.0000,0.8940,1
300.8799,3.3352,-19.0000,0.8940,1
300.8999,3.3352,-19.0000,0.8940,1
300.9199,3.3352,-19.0000,0.8940,1
300.9399,3.3352,-19.0000,0.8940,1
300.9599,3.3352,-19.0000,0.8940,1
300.9799,3.3352,-19.0000,0.8940,1
300.9999,3.3352,-19.0000,0.8940,1
301.0199,3.3352,-19.0000,0.8940,1
301.0399,3.3352,-19.0000,0.8940,1
301.0599,3.3352,-19.0000,0.8940,1
301.0799,3.3352,-19.0000,0.8940,1
301.0999,3.3352,-19.0000,0.8940,1
301.1199,3.3352,-19.0000,0.8940,1
301.1399,3.3352,-19.0000,0.8940,1
301.1599,3.3352,-19.0000,0.8940,1
301.1799,3.3352,-19.0000,0.8940,1
301.1999,3.3352,-19.0000,0.8940,1
301.2199,3.3352,-19.0000,0.8940,1
301.2399,3.3352,-19.0000,0.8940,1
301.2599,3.3352,-19.0000,0.8940,1
301.2799,3.3352,-19.0000,0.8940,1
301.2999,3.3352,-19.0000,0.8940,1
301.3199,3.3352,-19.0000,0.8940,1
301.3399,3.3352,-19.0000,0.8940,1
301.3599,3.3352,-19.0000,0.8940,1
301.3799,3.3352,-19.0000,0.8940,1
301.3999,3.3352,-19.0000,0.8940,1
301.4199,3.3352,-19.0000,0.8940,1
301.4399,3.3352,-19.0000,0.8940,1
301.4599,3.3352,-19.0000,0.8940,1
301.4799,3.3352,-19.0000,0.8940,1
301.4999,3.3352,-19.0000,0.8940,1
301.5199,3.3352,-19.0000,0.8940,1
301.5399,3.3352,-19.0000,0.8940,1
301.5599,3.3352,-19.0000,0.8940,1
301.5799,3.3352,-19.0000,0.8940,1
301.5999,3.3352,-19.0000,0.8940,1
301.6199,3.3352,-19.0000,0.8940,1
301.6399,3.3352,-19.0000,0.8940,1
301.6599,3.3352,-19.0000,0.8940,1
301.6799,3.3352,-19.0000,0.8940,1
301.6999,3.3352,-19.0000,0.8940,1
301.7199,3.3352,-19.0000,0.8940,1
301.7399,3.3352,-19.0000,0.8940,1
301.7599,3.3352,-19.0000,0.8940,1
301.7799,3.3352,-19.0000,0.8940,1
301.7999,3.3352,-19.0000,0.8940,1
301.8199,3.3352,-19.0000,0.8940,1
301.8399,3.3352,-19.0000,0.8940,1
301.8599,3.3352,-19.0000,0.8940,1
301.8799,3.3352,-19.0000,0.8940,1
301.8999,3.3352,-19.0000,0.8940,1
301.9199,3.3352,-19.0000,0.8940,1
301.9399,3.3352,-19.0000,0.8940,1
301.9599,3.3352,-19.0000,0.8940,1
301.9799,3.3352,-19.0000,0.8940,1
301.9999,3.3352,-19.0000,0.8940,1
302.0199,3.3352,-19.0000,0.8940,1
302.0399,3.3352,-19.0000,0.8940,1
302.0599,3.3352,-19.0000,0.8940,1
302.0799,3.3352,-19.0000,0.8940,1
302.0999,3.3352,-19.0000,0.8940,1
302.1199,3.3352,-19.0000,0.8940,1
302.1399,3.3352,-19.0000,0.8940,1
302.1599,3.3352,-19.0000,0.8940,1
302.1799,3.3352,-19.0000,0.8940,1
302.1999,3.3352,-19.0000,0.8940,1
302.2199,3.3352,-19.0000,0.8940,1
302.2399,3.3352,-19.0000,0.8940,1
302.2599,3.3352,-19.0000,0.8940,1
302.2799,3.3352,-19.0000,0.8940,1
302.2999,3.3352,-19.0000,0.8940,1
302.3199,3.3352,-19.0000,0.8940,1
302.3399,3.3352,-19.0000,0.8940,1
302.3599,3.3352,-19.0000,0.8940,1
302.3799,3.3352,-19.0000,0.8940,1
302.3999,3.3352,-19.0000,0.8940,1
302.4199,3.3352,-19.0000,0.8940,1
302.4399,3.3352,-19.0000,0.8940,1
302.4599,3.3352,-19.0000,0.8940,1
302.4799,3.3352,-19.0000,0.8940,1
302.4999,3.3352,-19.0000,0.8940,1
302.5199,3.3352,-19.0000,0.8940,1
302.5399,3.3352,-19.0000,0.8940,1
302.5599,3.3352,-19.0000,0.8940,1
302.5799,3.3352,-19.0000,0.8940,1
302.5999,3.3352,-19.0000,0.8940,1
302.6199,3.3352,-19.0000,0.8940,1
302.6399,3.3352,-19.0000,0.8940,1
302.6599,3.3352,-19.0000,0.8940,1
302.6799,3.3352,-19.0000,0.8940,1
302.6999,3.3352,-19.0000,0.8940,1
302.7199,3.3352,-19.0000,0.8940,1
302.7399,3.3352,-19.0000,0.8940,1
302.7599,3.3352,-19.0000,0.8940,1
302.7799,3.3352,-19.0000,0.8940,1
302.7999,3.3352,-19.0000,0.8940,1
302.8199,3.3352,-19.0000,0.8940,1
302.8399,3.3352,-19.0000,0.8940,1
302.8599,3.3352,-19.0000,0.8940,1
302.8799,3.3352,-19.0000,0.8940,1
302.8999,3.3352,-19.0000,0.8940,1
302.9199,3.3352,-19.0000,0.8940,1
302.9399,3.3352,-19.0000,0.8940,1
302.9599,3.3352,-19.0000,0.8940,1
302.9799,3.3352,-19.0000,0.8940,1
302.9999,3.3352,-19.0000,0.8940,1
303.0199,3.3352,-19.0000,0.8940,1
303.0399,3.3352,-19.0000,0.8940,1
303.0599,3.3352,-19.0000,0.8940,1
303.0799,3.3352,-19.0000,0.8940,1
303.0999,3.3352,-19.0000,0.8940,1
303.1199,3.3352,-19.0000,0.8940,1
303.1399,3.3352,-19.0000,0.8940,1
303.1599,3.3352,-19.0000,0.8940,1
303.1799,3.3352,-19.0000,0.8940,1
303.1999,3.3352,-19.0000,0.8940,1
303.2199,3.3352,-19.0000,0.8940,1
303.2399,3.3352,-19.0000,0.8940,1
303.2599,3.3352,-19.0000,0.8940,1
303.2799,3.3352,-19.0000,0.8940,1
303.2999,3.3352,-19.0000,0.8940,1
303.3199,3.3352,-19.0000,0.8940,1
303.3399,3.3352,-19.0000,0.8940,1
303.3599,3.3352,-19.0000,0.8940,1
303.3799,3.3352,-19.0000,0.8940,1
303.3999,3.3352,-19.0000,0.8940,1
303.4199,3.3352,-19.0000,0.8940,1
303.4399,3.3352,-19.0000,0.8940,1
303.4599,3.3352,-19.0000,0.8940,1
303.4799,3.3352,-19.0000,0.8940,1
303.4999,3.3352,-19.0000,0.8940,1
303.5199,3.3352,-19.0000,0.8940,1
303.5399,3.3352,-19.0000,0.8940,1
303.5599,3.3352,-19.0000,0.8940,1
303.5799,3.3352,-19.0000,0.8940,1
303.5999,3.3352,-19.0000,0.8940,1
303.6199,3.3352,-19.0000,0.8940,1
303.6399,3.3352,-19.0000,0.8940,1
303.6599,3.3352,-19.0000,0.8940,1
303.6799,3.3352,-19.0000,0.8940,1
303.6999,3.3352,-19.0000,0.8940,1
