time,block_id,x,y,z,isLocked,isHeld
60.0000,Block0,0.5758,-39.0000,-10.5067,0,0
60.0000,Block1,-1.3139,-39.0000,-5.4801,0,0
60.0000,Block2,10.8376,-39.0000,-7.5421,0,0
60.0000,Block3,-0.0275,-39.0000,10.8519,0,0
60.0000,Block4,-9.7958,-39.0000,-4.8942,0,0
60.0000,Block5,6.5111,-39.0000,5.4723,0,60.0200,Block0,-8.3463,-49.000060.0200,Block0,5.1452,1.0000,-8.5666,0,0
60.0200,Block1,60.060.0200,Block0,0.5758,-39.0000,-10.5067,0,0
60.0200,Block1,-1.3139,-39.0000,-5.4801,0,0
60.0200,Block2,10.8376,-39.0000,-7.5421,0,0
60.0200,Block3,-0.0275,-39.0000,10.85160.0400,Block0,-8.3463,-49.0000,-10.4779,0,0
60.0400,Block1,-60.0400,Block0,5.1452,1.0000,-8.5666,0,0
60.0400,Block1,-2.4592,1.0000,-9.0249,0,0
60.0400,Block2,10.1430,1.000060.0400,60.0400,Block0,0.5758,-39.0000,-10.5067,0,0
60.0400,Block1,-1.3139,-39.0000,-5.460.0600,Block0,-8.3463,-49.0000,-10.4779,0,0
60.0600,Block1,-6.0021,-49.0000,-1.3413,0,0
6060.0600,Block0,5.1452,1.0000,-8.5666,0,0
60.0600,Block1,-2.4592,1.0000,-9.0249,0,0
60.0600,Block2,10.1430,1.0000,-4.3492,0,0
60.0600,Block3,-0.3679,1.0000,6.0935,0,0
6660.0800,Block0,-8.3463,-49.0000,-10.4779,1,0
60.0800,Block1,-6.0021,-49.0000,-1.3413,0,0
60.0800,Block2,5.5845,-49.0000,4.60.0800,Block0,5.1452,1.0000,-8.5666,0,0
60.0800,Block1,-2.4592,1.0000,-9.0249,0,0
60.0800,Block2,10.1430,1.0000,-4.3492,0,0
60.0800,Block60.1000,Block0,-8.3463,-49.0000,-10.4779,1,0
60.1000,Block1,-6.0021,-49.0000,-1.3413,0,0
60.1000,Block2,5.5845,-49.0000,4.7079,0,0
60.1000,Block3,-7.13560.1000,Block0,5.1452,1.0000,-8.5666,0,0
60.1000,Block1,-2.4592,1.0000,-9.0249,0,0
60.1000,Block2,10.1430,1.60.1200,Block0,-8.3463,-49.0000,-10.4779,1,0
60.1200,Block1,-6.0021,-49.0000,-1.3413,0,0
60.1200,Block2,5.5845,-49.0000,4.7079,0,0
60.1200,Block3,-7.1357,-49.0000,3.8935,0,0
60.1200,60.1200,Block0,5.1452,1.0000,-8.5666,0,0
60.1200,Block1,-2.4592,1.0000,-9.024960.1400,Block0,-8.3463,-49.0000,-10.4779,1,0
60.1400,Block1,-6.0021,-49.0000,-1.3413,0,0
60.1400,Block2,5.5845,-49.0000,4.7079,0,0
60.1400,Block3,-7.1357,-49.0000,3.8935,0,0
60.1400,Block4,5.7791,-49.0000,8.1624,060.1400,Block0,5.1452,1.0000,-8.5666,0,0
60.14060.1600,Block0,-8.3463,-49.0000,-10.4779,1,0
60.1600,Block1,-6.0021,-49.0000,-1.3413,0,0
60.1600,Block2,5.5845,-49.0000,4.7079,0,0
60.1600,Block3,-7.1357,-49.0000,3.8935,0,0
60.1600,Block4,5.7791,-49.0000,8.1624,0,0
60.1600,Block5,-4.7560,-49.60.1600,Block0,5.60.1800,Block0,-8.3463,-49.0000,-10.4779,1,0
60.1800,Block1,-6.0021,-49.0000,-1.3413,0,0
60.1800,Block2,5.5845,-49.0000,4.7079,0,0
60.1800,Block3,-7.1357,-49.0000,3.8935,0,0
60.1800,Block4,5.7791,-49.0000,8.1624,0,0
60.1800,Block5,-4.7560,-49.0000,6.6120,0,0
60.2000,Block0,-8.3463,-49.0000,-10.4779,1,0
60.2000,Block1,-6.0021,-49.0000,-1.3413,0,0
60.2000,Block2,5.5845,-49.0000,4.7079,0,0
60.2000,Block3,-7.1357,-49.0000,3.8935,0,0
60.2000,Block4,5.7791,-49.0000,8.1624,0,0
60.2000,Block5,-4.7560,-49.0000,6.6120,0,0
60.2200,Block0,-8.3463,-49.0000,-10.4779,1,0
60.2200,Block1,-6.0021,-49.0000,-1.3413,0,0
60.2200,Block2,5.5845,-49.0000,4.7079,0,0
60.2200,Block3,-7.1357,-49.0000,3.8935,0,0
60.2200,Block4,5.7791,-49.0000,8.1624,0,0
60.2200,Block5,-4.7560,-49.0000,6.6120,0,0
60.2400,Block0,-8.3463,-49.0000,-10.4779,1,0
60.2400,Block1,-6.0021,-49.0000,-1.3413,0,0
60.2400,Block2,5.5845,-49.0000,4.7079,0,0
60.2400,Block3,-7.1357,-49.0000,3.8935,0,0
60.2400,Block4,5.7791,-49.0000,8.1624,0,0
60.2400,Block5,-4.7560,-49.0000,6.6120,0,0
60.2600,Block0,-8.3463,-49.0000,-10.4779,1,0
60.2600,Block1,-6.0021,-49.0000,-1.3413,0,0
