time,x,y,z,isActive
799.9997,3.1910,-19.0000,-9.6671,188800.0197,3.1910,-19.0000,-9.66668080800.0397,3.1910,-19.0000,-9.66800800800.0597,3.1910,-19.0000,-9.800.800.800.0797,3.0968,-19.0000,-800.0800.0800.0997,2.9376,-19.0000800.11800.11800.1197,2.7335,-19.00800.139800.139800.1397,2.4984,-19.800.1597800.1597800.1597,2.2418,-1800.1797,800.1797,800.1797,1.9867,800.1997,1800.1997,-800.1997,1.731800.2197,11800.2197,-8800.2197,1.4800.2397,11.800.2397,-8.800.2397,1800.2597,11.8800.2597,-8.5800.2597800.2797,11.87800.2797,-8.43800.27800.2997,11.875800.2997,-8.464800.800.3197,11.8750800.3197,-8.574980800.3397,11.8750,800.3397,-8.7409,800.3597,11.8750,1800.3597,-8.9461800.3797,11.8750,1.800.3797,-9.124800.3997,11.8743,1.0800.3997,-9.27800.4197,11.8684,1.00800.4197,-9.4800.4397,11.8541,1.0000800.4397,-9800.4597,11.8293,1.0000,2800.4597,800.4797,11.8026,1.0000,2.9800.479800.4997,11.7722,1.0000,3.273800.4800.5197,11.7368,1.0000,3.5682,800800.5397,11.6955,1.0000,3.8648,18800.5597,11.6477,1.0000,4.1621,1
800.5797,11.5546,1.0000,4.4404,1
800.5997,11.4300,1.0000,4.7054,1
800.6197,11.2835,1.0000,4.9609,1
800.6397,11.1216,1.0000,5.2097,1
800.6597,10.9487,1.0000,5.4533,1
800.6797,10.7510,1.0000,5.6744,1
800.6997,10.5348,1.0000,5.8779,1
800.7197,10.3048,1.0000,6.0672,1
800.7397,10.0640,1.0000,6.2448,1
800.7597,9.8146,1.0000,6.4120,1
800.7797,9.5612,1.0000,6.4767,1
800.7997,9.3028,1.0000,6.4756,1
800.8197,9.0391,1.0000,6.4337,1
800.8397,8.7698,1.0000,6.3682,1
800.8597,8.4950,1.0000,6.2908,1
800.8797,8.4048,1.0000,6.2578,1
800.8997,8.4370,1.0000,6.2528,1
800.9197,8.5537,1.0000,6.2645,1
800.9397,8.7285,1.0000,6.2856,1
800.9597,8.9435,1.0000,6.3111,1
800.9797,9.1078,1.0000,6.4234,1
800.9997,9.2347,1.0000,6.5954,1
801.0197,9.3331,1.0000,6.8085,1
801.0397,9.4090,1.0000,7.0501,1
801.0597,9.4664,1.0000,7.3114,1
801.0797,9.5417,1.0000,7.5793,1
801.0997,9.6200,1.0000,7.8550,1
801.1197,9.6910,1.0000,8.1383,1
801.1397,9.7473,1.0000,8.4280,1
801.1597,9.7838,1.0000,8.7225,1
801.1797,9.7537,1.0000,9.0030,1
801.1997,9.6813,1.0000,9.2760,1
801.2197,9.5835,1.0000,9.5461,1
801.2397,9.4717,1.0000,9.8160,1
801.2597,9.3538,1.0000,10.0875,1
801.2797,9.3675,1.0000,10.2970,1
801.2997,9.4704,1.0000,10.4637,1
801.3197,9.6342,1.0000,10.6006,1
801.3397,9.8397,1.0000,10.7169,1
801.3597,10.0739,1.0000,10.8185,1
801.3797,10.2716,1.0000,10.9767,1
801.3997,10.4385,1.0000,11.1758,1
801.4197,10.5783,1.0000,11.4048,1
801.4397,10.6934,1.0000,11.6557,1
801.4597,10.7853,1.0000,11.9227,1
801.4797,10.8469,1.0000,11.8845,1
801.4997,10.9751,1.0000,11.8769,1
801.5197,11.1498,1.0000,11.8754,1
801.5397,11.3571,1.0000,11.8751,1
801.5597,11.5873,1.0000,11.8750,1
801.5797,11.8338,1.0000,11.8750,1
801.5997,12.0334,1.0000,11.8750,1
801.6197,11.9067,1.0000,11.8750,1
801.6397,11.8813,1.0000,11.8750,1
801.6597,11.8763,1.0000,11.8750,1
801.6797,11.8753,1.0000,11.8750,1
801.6997,11.8751,1.0000,11.8750,1
801.7197,11.8750,1.0000,11.8750,1
801.7397,11.8750,1.0000,11.8750,1
801.7597,11.8750,1.0000,11.8750,1
801.7797,11.8750,1.0000,11.8750,1
801.7997,11.8750,1.0000,11.8750,1
801.8197,11.8750,1.0000,11.8750,1
801.8397,11.8750,1.0000,11.8750,1
801.8597,11.8750,1.0000,11.8750,1
801.8797,11.8750,1.0000,11.8750,1
801.8997,11.8750,1.0000,11.8259,1
801.9197,11.8750,1.0000,11.7469,1
801.9397,11.8750,1.0000,11.6511,1
801.9597,11.8750,1.0000,11.5475,1
801.9797,11.8750,1.0000,11.4426,1
801.9997,11.8750,1.0000,11.4552,1
802.0197,11.8750,1.0000,11.5490,1
802.0397,11.8750,1.0000,11.6995,1
802.0597,11.8750,1.0000,11.8898,1
802.0797,11.8750,1.0000,11.8780,1
802.0997,11.8058,1.0000,11.8756,1
802.1197,11.6842,1.0000,11.8751,1
802.1397,11.5224,1.0000,11.8750,1
802.1597,11.3291,1.0000,11.8750,1
802.1797,11.1107,1.0000,11.8750,1
802.1997,11.0122,1.0000,11.8750,1
802.2197,10.9986,1.0000,11.8750,1
802.2397,11.0405,1.0000,11.8750,1
802.2597,11.1233,1.0000,11.8750,1
802.2797,11.2372,1.0000,11.8750,1
802.2997,11.2947,1.0000,11.8750,1
802.3197,11.3124,1.0000,11.8750,1
802.3397,11.3066,1.0000,11.8750,1
802.3597,11.2834,1.0000,11.8750,1
802.3797,11.2471,1.0000,11.8750,1
802.3997,11.3017,1.0000,11.8750,1
802.4197,11.4176,1.0000,11.8750,1
802.4397,11.5739,1.0000,11.8750,1
802.4597,11.7565,1.0000,11.8750,1
802.4797,11.9555,1.0000,11.8750,1
802.4997,11.8911,1.0000,11.8750,1
802.5197,11.8782,1.0000,11.8750,1
802.5397,11.8756,1.0000,11.8750,1
802.5597,11.8751,1.0000,11.8750,1
802.5797,11.8750,1.0000,11.8750,1
802.5997,11.8750,1.0000,11.7830,1
802.6197,11.8750,1.0000,11.6268,1
802.6397,11.8750,1.0000,11.4255,1
802.6597,11.8750,1.0000,11.1928,1
802.6797,11.8750,1.0000,10.9380,1
802.6997,11.8750,1.0000,10.7726,1
802.7197,11.8750,1.0000,10.6741,1
802.7397,11.8750,1.0000,10.6268,1
802.7597,11.8750,1.0000,10.6193,1
802.7797,11.8750,1.0000,10.6392,1
802.7997,11.8750,1.0000,10.7402,1
802.8197,11.8750,1.0000,10.8969,1
802.8397,11.8750,1.0000,11.0917,1
802.8597,11.8750,1.0000,11.3127,1
802.8797,11.8750,1.0000,11.5515,1
802.8997,11.8719,1.0000,11.8109,1
802.9197,11.8658,1.0000,12.0845,1
802.9397,11.8591,1.0000,11.9169,1
802.9597,11.8511,1.0000,11.8834,1
802.9797,11.8413,1.0000,11.8767,1
802.9997,11.8413,1.0000,11.8753,1
803.0197,11.8457,1.0000,11.8751,1
803.0397,11.8514,1.0000,11.8750,1
803.0597,11.8565,1.0000,11.8750,1
803.0797,11.8596,1.0000,11.8750,1
803.0997,11.8700,1.0000,11.8750,1
803.1197,11.8740,1.0000,11.8750,1
803.1397,11.8748,1.0000,11.8750,1
803.1597,11.8750,1.0000,11.8750,1
803.1797,11.8750,1.0000,11.8750,1
803.1997,11.8750,1.0000,11.8323,1
803.2197,11.8750,1.0000,11.7586,1
803.2397,11.8750,1.0000,11.6620,1
803.2597,11.8750,1.0000,11.5480,1
803.2797,11.8750,1.0000,11.4202,1
803.2997,11.8750,1.0000,11.3259,1
803.3197,11.8750,1.0000,11.2610,1
803.3397,11.8750,1.0000,11.2228,1
803.3597,11.8750,1.0000,11.2092,1
803.3797,11.8750,1.0000,11.2140,1
803.3997,11.8750,1.0000,11.2876,1
803.4197,11.8750,1.0000,11.4085,1
803.4397,11.8750,1.0000,11.5619,1
803.4597,11.8750,1.0000,11.7377,1
803.4797,11.8750,1.0000,11.9288,1
803.4997,11.8750,1.0000,11.8858,1
803.5197,11.8750,1.0000,11.8772,1
803.5397,11.8750,1.0000,11.8754,1
803.5597,11.8750,1.0000,11.8751,1
803.5797,11.8750,1.0000,11.8750,1
803.5997,11.7933,1.0000,11.8750,1
803.6197,11.6571,1.0000,11.8750,1
803.6397,11.4854,1.0000,11.8750,1
803.6597,11.2911,1.0000,11.8750,1
803.6797,11.0835,1.0000,11.8750,1
803.6997,10.8579,1.0000,11.8750,1
803.7197,10.6213,1.0000,11.8750,1
803.7397,10.3787,1.0000,11.8750,1
803.7597,10.1338,1.0000,11.8750,1
803.7797,9.8890,1.0000,11.8750,1
803.7997,9.6984,1.0000,11.8750,1
803.8197,9.5380,1.0000,11.8750,1
803.8397,9.3917,1.0000,11.8750,1
803.8597,9.2483,1.0000,11.8750,1
803.8797,9.1006,1.0000,11.8750,1
803.8997,8.9663,1.0000,11.8750,1
803.9197,8.8377,1.0000,11.8750,1
803.9397,8.7094,1.0000,11.8750,1
803.9597,8.5779,1.0000,11.8750,1
803.9797,8.4408,1.0000,11.8750,1
803.9997,8.3843,1.0000,11.8750,1
804.0197,8.3757,1.0000,11.8750,1
804.0397,8.3882,1.0000,11.8750,1
804.0597,8.4081,1.0000,11.8750,1
804.0797,8.4264,1.0000,11.8750,1
804.0997,8.4939,1.0000,11.8750,1
804.1197,8.5966,1.0000,11.8750,1
804.1397,8.7250,1.0000,11.8750,1
804.1597,8.8726,1.0000,11.8750,1
804.1797,9.0347,1.0000,11.8750,1
804.1997,9.1289,1.0000,11.8750,1
804.2197,9.1780,1.0000,11.8750,1
804.2397,9.1979,1.0000,11.8750,1
804.2597,9.1996,1.0000,11.8750,1
804.2797,9.1947,1.0000,11.8750,1
804.2997,9.2080,1.0000,11.8750,1
804.3197,9.2359,1.0000,11.8750,1
804.3397,9.2763,1.0000,11.8750,1
804.3597,9.3275,1.0000,11.8750,1
804.3797,9.3885,1.0000,11.8750,1
804.3997,9.3796,1.0000,11.8750,1
804.4197,9.3262,1.0000,11.8750,1
804.4397,9.2454,1.0000,11.8750,1
804.4597,9.1488,1.0000,11.8750,1
804.4797,9.0445,1.0000,11.8750,1
804.4997,9.0685,1.0000,11.8691,1
804.5197,9.1799,1.0000,11.8527,1
804.5397,9.3502,1.0000,11.8230,1
804.5597,9.5595,1.0000,11.7783,1
804.5797,9.7940,1.0000,11.7174,1
804.5997,9.9742,1.0000,11.7705,1
804.6197,10.1186,1.0000,11.9008,1
804.6397,10.2378,1.0000,11.8802,1
804.6597,10.3406,1.0000,11.8760,1
804.6797,10.4329,1.0000,11.8752,1
804.6997,10.4015,1.0000,11.8617,1
804.7197,10.2852,1.0000,11.8385,1
804.7397,10.1108,1.0000,11.8087,1
804.7597,9.8965,1.0000,11.7742,1
804.7797,9.6548,1.0000,11.7367,1
804.7997,9.5253,1.0000,11.6208,1
804.8197,9.4720,1.0000,11.4518,1
804.8397,9.4703,1.0000,11.2467,1
804.8597,9.5039,1.0000,11.0167,1
804.8797,9.5617,1.0000,10.7698,1
804.8997,9.6956,1.0000,10.6224,1
804.9197,9.8780,1.0000,10.5540,1
804.9397,10.0888,1.0000,10.5504,1
804.9597,10.3131,1.0000,10.6011,1
804.9797,10.5396,1.0000,10.6984,1
804.9997,10.5969,1.0000,10.7451,1
805.0197,10.5444,1.0000,10.7497,1
805.0397,10.4193,1.0000,10.7177,1
805.0597,10.2481,1.0000,10.6527,1
805.0797,10.0495,1.0000,10.5573,1
805.0997,9.9192,1.0000,10.3958,1
805.1197,9.8420,1.0000,10.1899,1
805.1397,9.8074,1.0000,9.9545,1
805.1597,9.8084,1.0000,9.7006,1
805.1797,9.8401,1.0000,9.4358,1
805.1997,9.7816,1.0000,9.3110,1
805.2197,9.6629,1.0000,9.2814,1
805.2397,9.5034,1.0000,9.3168,1
805.2597,9.3162,1.0000,9.3969,1
805.2797,9.1104,1.0000,9.5081,1
805.2997,8.8735,1.0000,9.5793,1
805.3197,8.6156,1.0000,9.6207,1
805.3397,8.3434,1.0000,9.6392,1
805.3597,8.0618,1.0000,9.6395,1
805.3797,7.7741,1.0000,9.6248,1
805.3997,7.5101,1.0000,9.5457,1
805.4197,7.2653,1.0000,9.4197,1
805.4397,7.0368,1.0000,9.2592,1
805.4597,6.8227,1.0000,9.0724,1
805.4797,6.6217,1.0000,8.8653,1
805.4997,6.5357,1.0000,8.6417,1
805.5197,6.5299,1.0000,8.4083,1
805.5397,6.5804,1.0000,8.1693,1
805.5597,6.6711,1.0000,7.9277,1
805.5797,6.7910,1.0000,7.6855,1
805.5997,6.7819,1.0000,7.5570,1
805.6197,6.6826,1.0000,7.4935,1
805.6397,6.5193,1.0000,7.4619,1
805.6597,6.3116,1.0000,7.4395,1
805.6797,6.0743,1.0000,7.4114,1
805.6997,5.8529,1.0000,7.3160,1
805.7197,5.6391,1.0000,7.1775,1
805.7397,5.4274,1.0000,7.0123,1
805.7597,5.2141,1.0000,6.8317,1
805.7797,4.9969,1.0000,6.6434,1
805.7997,4.9466,1.0000,6.5099,1
805.8197,5.0087,1.0000,6.4203,1
805.8397,5.1469,1.0000,6.3665,1
805.8597,5.3365,1.0000,6.3432,1
805.8797,5.5602,1.0000,6.3471,1
805.8997,5.6514,1.0000,6.2742,1
805.9197,5.6578,1.0000,6.1461,1
805.9397,5.6116,1.0000,5.9768,1
805.9597,5.5345,1.0000,5.7764,1
805.9797,5.4414,1.0000,5.5522,1
805.9997,5.3580,1.0000,5.4952,1
806.0197,5.2793,1.0000,5.5500,1
806.0397,5.2009,1.0000,5.6803,1
806.0597,5.1205,1.0000,5.8615,1
806.0797,5.0366,1.0000,6.0771,1
806.0997,4.8829,1.0000,6.2167,1
806.1197,4.6828,1.0000,6.2971,1
806.1397,4.4522,1.0000,6.3301,1
806.1597,4.2028,1.0000,6.3236,1
806.1797,3.9430,1.0000,6.2831,1
806.1997,3.7132,1.0000,6.1742,1
806.2197,3.5044,1.0000,6.0186,1
806.2397,3.3102,1.0000,5.8307,1
806.2597,3.1266,1.0000,5.6204,1
806.2797,2.9507,1.0000,5.3945,1
806.2997,2.7358,1.0000,5.2600,1
806.3197,2.4933,1.0000,5.1802,1
806.3397,2.2314,1.0000,5.1304,1
806.3597,1.9560,1.0000,5.0936,1
806.3797,1.6719,1.0000,5.0584,1
806.3997,1.5756,1.0000,5.0524,1
806.4197,1.6022,1.0000,5.0733,1
806.4397,1.7101,1.0000,5.1210,1
806.4597,1.8705,1.0000,5.1948,1
806.4797,2.0630,1.0000,5.2940,1
806.4997,2.2888,1.0000,5.3814,1
806.5197,2.5367,1.0000,5.4642,1
806.5397,2.7987,1.0000,5.5475,1
806.5597,3.0693,1.0000,5.6344,1
806.5797,3.3447,1.0000,5.7272,1
806.5997,3.4967,1.0000,5.8806,1
806.6197,3.5654,1.0000,6.0753,1
806.6397,3.5784,1.0000,6.2985,1
806.6597,3.5541,1.0000,6.5414,1
806.6797,3.5052,1.0000,6.7982,1
806.6997,3.4237,1.0000,6.8880,1
806.7197,3.3223,1.0000,6.8646,1
806.7397,3.2085,1.0000,6.7635,1
806.7597,3.0878,1.0000,6.6085,1
806.7797,2.9639,1.0000,6.4156,1
806.7997,2.9591,1.0000,6.3423,1
806.8197,3.0264,1.0000,6.3569,1
806.8397,3.1358,1.0000,6.4389,1
806.8597,3.2654,1.0000,6.5739,1
806.8797,3.3994,1.0000,6.7508,1
806.8997,3.5408,1.0000,6.7884,1
806.9197,3.6963,1.0000,6.7379,1
806.9397,3.8697,1.0000,6.6346,1
806.9597,4.0629,1.0000,6.5032,1
806.9797,4.2758,1.0000,6.3614,1
806.9997,4.3987,1.0000,6.1705,1
807.0197,4.4599,1.0000,5.9464,1
807.0397,4.4786,1.0000,5.6998,1
807.0597,4.4677,1.0000,5.4378,1
807.0797,4.4363,1.0000,5.1654,1
807.0997,4.4852,1.0000,4.9131,1
807.1197,4.5879,1.0000,4.6737,1
807.1397,4.7266,1.0000,4.4422,1
807.1597,4.8890,1.0000,4.2154,1
807.1797,5.0669,1.0000,3.9909,1
807.1997,5.2745,1.0000,3.7939,1
807.2197,5.5033,1.0000,3.6175,1
807.2397,5.7475,1.0000,3.4570,1
807.2597,6.0030,1.0000,3.3093,1
807.2797,6.2671,1.0000,3.1722,1
807.2997,6.5222,1.0000,3.0175,1
807.3197,6.7719,1.0000,2.8515,1
807.3397,7.0183,1.0000,2.6783,1
807.3597,7.2630,1.0000,2.5009,1
807.3797,7.5069,1.0000,2.3212,1
807.3997,7.6136,1.0000,2.1221,1
807.4197,7.6253,1.0000,1.9115,1
807.4397,7.5706,1.0000,1.6944,1
807.4597,7.4690,1.0000,1.4743,1
807.4797,7.3337,1.0000,1.2535,1
807.4997,7.2087,1.0000,1.0119,1
807.5197,7.0969,1.0000,0.7541,1
807.5397,7.0006,1.0000,0.4835,1
807.5597,6.9214,1.0000,0.2031,1
807.5797,6.8605,1.0000,-0.0847,1
807.5997,6.8712,1.0000,-0.3626,1
807.6197,6.9312,1.0000,-0.6333,1
807.6397,7.0252,1.0000,-0.8988,1
807.6597,7.1430,1.0000,-1.1605,1
807.6797,7.2775,1.0000,-1.4192,1
807.6997,7.3451,0.9986,-1.4080,1
807.7197,7.4594,0.9997,-1.3368,1
807.7397,7.6091,0.9999,-1.2237,1
807.7597,7.7861,1.0000,-1.0857,1
807.7797,7.9846,1.0000,-0.9343,1
807.7997,8.1719,1.0000,-0.9129,1
807.8197,8.3516,1.0000,-0.9796,1
807.8397,8.5261,1.0000,-1.1064,1
