time,block_id,x,y,z,isLocked,isHeld
20.0000,Block0,5.7376,-49.0000,4.7227,0,0
20.0000,Block1,-9.7604,-49.0000,-5.5880,0,0
20.0000,Block2,10.2025,-49.0000,-2.9441,20.0200,Block0,7.9619,-9.0000,-9.1759,0,0
20.0200,Block1,9.1518,-9.0000,9.5642,0,0
20.0200,Bl20.0200,Block0,-8.9299,-39.0000,-20.0400,Block0,7.9619,-9.0000,-9.1759,0,0
20.0400,Block1,9.1518,-9.0000,9.5642,0,0
20.0400,Block2,-1.6718,-9.0000,5.1601,0,0
20.0600,Block0,7.9619,-9.0000,-9.1759,0,0
20.0600,Block1,9.1518,-9.0000,9.5642,0,0
20.0600,Block2,-1.6718,-9.0000,5.1601,0,0
20.0800,Block0,7.9619,-9.0000,-9.1759,0,0
20.0800,Block1,9.1518,-9.0000,9.5642,0,0
20.0800,Block2,-1.6718,-9.0000,5.1601,0,0
20.1000,Block0,7.9619,-9.0000,-9.1759,0,0
20.1000,Block1,9.1518,-9.0000,9.5642,0,0
20.1000,Block2,-1.6718,-9.0000,5.1601,0,0
20.1200,Block0,7.9619,-9.0000,-9.1759,0,0
20.1200,Block1,9.1518,-9.0000,9.5642,0,0
20.1200,Block2,-1.6718,-9.0000,5.1601,0,0
20.1400,Block0,7.9619,-9.0000,-9.1759,0,0
20.1400,Block1,9.1518,-9.0000,9.5642,0,0
20.1400,Block2,-1.6718,-9.0000,5.1601,0,0
20.1600,Block0,7.9619,-9.0000,-9.1759,0,0
20.1600,Block1,9.1518,-9.0000,9.5642,0,0
20.1600,Block2,-1.6718,-9.0000,5.1601,0,0
20.1800,Block0,7.9619,-9.0000,-9.1759,0,0
20.1800,Block1,9.1518,-9.0000,9.5642,0,0
20.1800,Block2,-1.6718,-9.0000,5.1601,0,0
20.2000,Block0,7.9619,-9.0000,-9.1759,0,0
20.2000,Block1,9.1518,-9.0000,9.5642,0,0
20.2000,Block2,-1.6718,-9.0000,5.1601,0,0
20.2200,Block0,7.9619,-9.0000,-9.1759,0,0
20.2200,Block1,9.1518,-9.0000,9.5642,0,0
20.2200,Block2,-1.6718,-9.0000,5.1601,0,0
20.2400,Block0,7.9619,-9.0000,-9.1759,0,0
20.2400,Block1,9.1518,-9.0000,9.5642,0,0
20.2400,Block2,-1.6718,-9.0000,5.1601,0,0
20.2600,Block0,7.9619,-9.0000,-9.1759,0,0
20.2600,Block1,9.1518,-9.0000,9.5642,0,0
20.2600,Block2,-1.6718,-9.0000,5.1601,0,0
20.2800,Block0,7.9619,-9.0000,-9.1759,0,0
20.2800,Block1,9.1518,-9.0000,9.5642,0,0
20.2800,Block2,-1.6718,-9.0000,5.1601,0,0
20.3000,Block0,7.9619,-9.0000,-9.1759,0,0
20.3000,Block1,9.1518,-9.0000,9.5642,0,0
20.3000,Block2,-1.6718,-9.0000,5.1601,0,0
20.3200,Block0,7.9619,-9.0000,-9.1759,0,0
20.3200,Block1,9.1518,-9.0000,9.5642,0,0
20.3200,Block2,-1.6718,-9.0000,5.1601,0,0
20.3400,Block0,7.9619,-9.0000,-9.1759,0,0
20.3400,Block1,9.1518,-9.0000,9.5642,0,0
20.3400,Block2,-1.6718,-9.0000,5.1601,0,0
20.3600,Block0,7.9619,-9.0000,-9.1759,0,0
20.3600,Block1,9.1518,-9.0000,9.5642,0,0
20.3600,Block2,-1.6718,-9.0000,5.1601,0,0
20.3800,Block0,7.9619,-9.0000,-9.1759,0,0
20.3800,Block1,9.1518,-9.0000,9.5642,0,0
20.3800,Block2,-1.6718,-9.0000,5.1601,0,0
20.4000,Block0,7.9619,-9.0000,-9.1759,0,0
20.4000,Block1,9.1518,-9.0000,9.5642,0,0
20.4000,Block2,-1.6718,-9.0000,5.1601,0,0
20.4200,Block0,7.9619,-9.0000,-9.1759,0,0
20.4200,Block1,9.1518,-9.0000,9.5642,0,0
20.4200,Block2,-1.6718,-9.0000,5.1601,0,0
20.4400,Block0,7.9619,-9.0000,-9.1759,0,0
20.4400,Block1,9.1518,-9.0000,9.5642,0,0
20.4400,Block2,-1.6718,-9.0000,5.1601,0,0
20.4600,Block0,7.9619,-9.0000,-9.1759,0,0
20.4600,Block1,9.1518,-9.0000,9.5642,0,0
20.4600,Block2,-1.6718,-9.0000,5.1601,0,0
20.4800,Block0,7.9619,-9.0000,-9.1759,0,0
20.4800,Block1,9.1518,-9.0000,9.5642,0,0
20.4800,Block2,-1.6718,-9.0000,5.1601,0,0
20.5000,Block0,7.9619,-9.0000,-9.1759,0,0
20.5000,Block1,9.1518,-9.0000,9.5642,0,0
20.5000,Block2,-1.6718,-9.0000,5.1601,0,0
20.5200,Block0,7.9619,-9.0000,-9.1759,0,0
20.5200,Block1,9.1518,-9.0000,9.5642,0,0
20.5200,Block2,-1.6718,-9.0000,5.1601,0,0
20.5400,Block0,7.9619,-9.0000,-9.1759,0,0
20.5400,Block1,9.1518,-9.0000,9.5642,0,0
20.5400,Block2,-1.6718,-9.0000,5.1601,0,0
20.5600,Block0,7.9619,-9.0000,-9.1759,0,0
20.5600,Block1,9.1518,-9.0000,9.5642,0,0
20.5600,Block2,-1.6718,-9.0000,5.1601,0,0
20.5800,Block0,7.9619,-9.0000,-9.1759,0,0
20.5800,Block1,9.1518,-9.0000,9.5642,0,0
20.5800,Block2,-1.6718,-9.0000,5.1601,0,0
20.6000,Block0,7.9619,-9.0000,-9.1759,0,0
20.6000,Block1,9.1518,-9.0000,9.5642,0,0
20.6000,Block2,-1.6718,-9.0000,5.1601,0,0
20.6200,Block0,7.9619,-9.0000,-9.1759,0,0
20.6200,Block1,9.1518,-9.0000,9.5642,0,0
20.6200,Block2,-1.6718,-9.0000,5.1601,0,0
20.6400,Block0,7.9619,-9.0000,-9.1759,0,0
20.6400,Block1,9.1518,-9.0000,9.5642,0,0
20.6400,Block2,-1.6718,-9.0000,5.1601,0,0
