time,x,y,z,isActive
519.9998,6.8936,-49.0000,9.4795,1
5520.0198,6.7997,-49.0000,9.4608,152520.0398,6.6424,-49.0000,9.4250,520520.0598,6.4428,-49.0000,9.3733520.520.0798,6.2154,-49.0000,9.306520.0520.0998,5.9705,-49.0000,9.22520.11520.1198,5.7185,-49.0000,9.1520.139520.1398,5.4612,-49.0000,9.520.1598520.1598,5.1999,-49.0000,8520.1798,520.1798,4.9353,-49.0000,520.1998,-520.1998,4.6680,-49.0000520.2198,-6520.2198,4.3908,-49.000520.2398,-6.520.2398,4.1065,-49.00520.2598,-6.3520.2598,3.8171,-49.0520.2798,-6.30520.2798,3.5241,-49.520.2998,-6.261520.2998,3.2284,-49520.3198,-6.2035520.3198,2.9346,-4520.3398,-6.1379,520.3398,2.6413,-520.3598,-6.0702,1520.3598,2.3476,520.3798,-6.0050,1.520.3798,2.0531520.3998,-5.9457,1.0520.3998,1.757520.4198,-5.9057,1.00520.4198,1.55520.4398,-5.7881,1.000520.4398,1.4520.4598,-5.6164,1.0000520.4598,1.520.4798,-5.4064,1.0000,520.4798,1520.4998,-5.1691,1.0000,9520.4998,520.5198,-4.9123,1.0000,9.520.5198520.5398,-4.6937,1.0000,9.1520.539520.5598,-4.4482,1.0000,9.22520.55520.5798,-4.1845,1.0000,9.239520.5520.5998,-3.9093,1.0000,9.2347520.520.6198,-3.6272,1.0000,9.2096,520520.6398,-3.5399,1.0000,9.1628,152520.6598,-3.5304,1.0000,9.0842,1
5520.6798,-3.5822,1.0000,8.9823,1
520.6998,-3.6810,1.0000,8.8599,1
520.7198,-3.8183,1.0000,8.7194,1
520.7398,-3.8960,1.0000,8.5549,1
520.7598,-3.9769,1.0000,8.3841,1
520.7798,-4.0587,1.0000,8.2019,1
520.7998,-4.1359,1.0000,8.0022,1
520.8198,-4.2093,1.0000,7.7863,1
520.8398,-4.2129,1.0000,7.6160,1
520.8598,-4.1720,1.0000,7.4833,1
520.8798,-4.0972,1.0000,7.3746,1
520.8998,-3.9959,1.0000,7.2825,1
520.9198,-3.8726,1.0000,7.2011,1
520.9398,-3.7361,1.0000,7.1160,1
520.9598,-3.5865,1.0000,7.0291,1
520.9798,-3.4242,1.0000,6.9422,1
520.9998,-3.2500,1.0000,6.8566,1
521.0198,-3.0644,1.0000,6.7730,1
521.0398,-2.9762,1.0000,6.8057,1
521.0598,-2.9442,1.0000,6.9199,1
521.0798,-2.9409,1.0000,7.0921,1
521.0998,-2.9478,1.0000,7.3055,1
521.1198,-2.9520,1.0000,7.5476,1
521.1398,-2.9963,1.0000,7.6234,1
521.1598,-3.0640,1.0000,7.5868,1
521.1798,-3.1455,1.0000,7.4725,1
521.1998,-3.2335,1.0000,7.3039,1
521.2198,-3.3229,1.0000,7.0971,1
521.2398,-3.4618,1.0000,6.8990,1
521.2598,-3.6361,1.0000,6.7089,1
521.2798,-3.8361,1.0000,6.5266,1
521.2998,-4.0552,1.0000,6.3521,1
521.3198,-4.2888,1.0000,6.1852,1
521.3398,-4.4260,1.0000,5.9771,1
521.3598,-4.5016,1.0000,5.7402,1
521.3798,-4.5393,1.0000,5.4829,1
521.3998,-4.5554,1.0000,5.2112,1
521.4198,-4.5608,1.0000,4.9293,1
521.4398,-4.6507,1.0000,4.7822,1
521.4598,-4.7971,1.0000,4.7273,1
521.4798,-4.9817,1.0000,4.7358,1
521.4998,-5.1920,1.0000,4.7882,1
521.5198,-5.4195,1.0000,4.8714,1
521.5398,-5.5790,1.0000,5.0248,1
521.5598,-5.6858,1.0000,5.2260,1
521.5798,-5.7499,1.0000,5.4594,1
521.5998,-5.7784,1.0000,5.7140,1
521.6198,-5.7760,1.0000,5.9819,1
521.6398,-5.8642,1.0000,6.1274,1
521.6598,-6.0146,1.0000,6.1923,1
521.6798,-6.2081,1.0000,6.2051,1
521.6998,-6.4321,1.0000,6.1846,1
521.7198,-6.6777,1.0000,6.1440,1
521.7398,-6.7709,1.0000,6.1806,1
521.7598,-6.7634,1.0000,6.2702,1
521.7798,-6.6892,1.0000,6.3981,1
521.7998,-6.5709,1.0000,6.5537,1
521.8198,-6.4239,1.0000,6.7300,1
521.8398,-6.3501,1.0000,6.9431,1
521.8598,-6.3217,1.0000,7.1825,1
521.8798,-6.3199,1.0000,7.4408,1
521.8998,-6.3317,1.0000,7.7129,1
521.9198,-6.3485,1.0000,7.9948,1
521.9398,-6.4470,1.0000,8.1436,1
521.9598,-6.5987,1.0000,8.1985,1
521.9798,-6.7847,1.0000,8.1863,1
521.9998,-6.9921,1.0000,8.1248,1
522.0198,-7.2118,1.0000,8.0264,1
522.0398,-7.3470,1.0000,8.0555,1
522.0598,-7.4219,1.0000,8.1702,1
522.0798,-7.4530,1.0000,8.3425,1
522.0998,-7.4511,1.0000,8.5536,1
522.1198,-7.4236,1.0000,8.7905,1
522.1398,-7.4667,1.0000,8.8758,1
522.1598,-7.5615,1.0000,8.8637,1
522.1798,-7.6965,1.0000,8.7900,1
522.1998,-7.8632,1.0000,8.6788,1
522.2198,-8.0554,1.0000,8.5469,1
522.2398,-8.1821,1.0000,8.5543,1
522.2598,-8.2687,1.0000,8.6555,1
522.2798,-8.3326,1.0000,8.8207,1
522.2998,-8.3851,1.0000,9.0294,1
522.3198,-8.4339,1.0000,9.2673,1
522.3398,-8.5568,1.0000,9.4658,1
522.3598,-8.7304,1.0000,9.6372,1
522.3798,-8.9385,1.0000,9.7899,1
522.3998,-9.1704,1.0000,9.9295,1
522.4198,-9.4187,1.0000,10.0600,1
5522.4398,-9.4918,1.0000,10.1676,152522.4598,-9.4466,1.0000,10.2571,522522.4798,-9.3208,1.0000,10.3325522.522.4998,-9.1395,1.0000,10.396522.5522.5198,-8.9199,1.0000,10.45522.53522.5398,-8.8478,1.0000,10.5522.559522.5598,-8.8816,1.0000,10.522.5798522.5798,-8.9930,1.0000,10522.5998,522.5998,-9.1614,1.0000,1522.6198,8522.6198,-9.3714,1.0000,522.6398,8.522.6398,-9.6106,1.0000522.6598,8.1522.6598,-9.8692,1.000522.6798,7.91522.6798,-10.1407,1.0522.6998,7.6446522.6998,-10.4205,1522.7198,7.3691,-522.7198,-10.7053522.7398,7.2279,-9.522.7398,-10.80522.7598,7.1789,-9.00522.7598,-10.522.7798,7.1930,-9.0000522.7798,-1522.7998,7.2514,-9.0000,6522.7998,522.8198,7.3410,-9.0000,6.9522.819522.8398,7.3314,-9.0000,7.072522.8522.8598,7.2565,-9.0000,7.0559,522522.8798,7.1369,-9.0000,6.9774,152522.8998,6.9873,-9.0000,6.8558,1
5522.9198,6.8176,-9.0000,6.7041,1
522.9398,6.7995,-9.0000,6.5983,1
522.9598,6.8832,-9.0000,6.5227,1
522.9798,7.0364,-9.0000,6.4667,1
522.9998,7.2371,-9.0000,6.4233,1
523.0198,7.4703,-9.0000,6.3880,1
523.0398,7.5311,-9.0000,6.3792,1
523.0598,7.4787,-9.0000,6.3903,1
523.0798,7.3492,-9.0000,6.4179,1
523.0998,7.1674,-9.0000,6.4595,1
523.1198,6.9504,-9.0000,6.5134,1
523.1398,6.8861,-9.0000,6.4978,1
523.1598,6.9221,-9.0000,6.4343,1
523.1798,7.0250,-9.0000,6.3355,1
523.1998,7.1723,-9.0000,6.2106,1
523.2198,7.3489,-9.0000,6.0660,1
523.2398,7.5383,-9.0000,6.0352,1
523.2598,7.7372,-9.0000,6.0809,1
523.2798,7.9434,-9.0000,6.1778,1
523.2998,8.1554,-9.0000,6.3091,1
523.3198,8.3720,-9.0000,6.4631,1
523.3398,8.6117,-9.0000,6.5379,1
523.3598,8.8625,-9.0000,6.5475,1
523.3798,9.1151,-9.0000,6.5022,1
523.3998,9.3619,-9.0000,6.4095,1
523.4198,9.5963,-9.0000,6.2757,1
523.4398,9.8441,-9.0000,6.1439,1
523.4598,10.1019,-9.0000,6.0156,1
523.4798,10.3675,-9.0000,5.8918,1
523.4998,10.6393,-9.0000,5.7731,1
523.5198,10.9161,-9.0000,5.6602,1
523.5398,11.1859,-9.0000,5.5301,1
523.5598,11.4531,-9.0000,5.3917,1
523.5798,11.7206,-9.0000,5.2513,1
523.5998,11.9902,-9.0000,5.1131,1
523.6198,11.8980,-9.0000,4.9801,1
523.6398,11.8796,-9.0000,4.9803,1
523.6598,11.8759,-9.0000,5.0724,1
523.6798,11.8752,-9.0000,5.2288,1
523.6998,11.8750,-9.0000,5.4301,1
523.7198,11.8750,-9.0000,5.6631,1
523.7398,11.8750,-9.0000,5.7230,1
523.7598,11.8750,-9.0000,5.6693,1
523.7798,11.8750,-9.0000,5.5373,1
523.7998,11.8750,-9.0000,5.3512,1
523.8198,11.8750,-9.0000,5.1278,1
523.8398,11.8750,-9.0000,5.0487,1
523.8598,11.8750,-9.0000,5.0593,1
523.8798,11.8750,-9.0000,5.1276,1
523.8998,11.8750,-9.0000,5.2320,1
523.9198,11.8750,-9.0000,5.3575,1
523.9398,11.8750,-9.0000,5.4723,1
523.9598,11.8750,-9.0000,5.5752,1
523.9798,11.8750,-9.0000,5.6656,1
523.9998,11.8750,-9.0000,5.7429,1
524.0198,11.8750,-9.0000,5.8068,1
524.0398,11.8750,-9.0000,5.7803,1
524.0598,11.8750,-9.0000,5.6930,1
524.0798,11.8750,-9.0000,5.5648,1
524.0998,11.8750,-9.0000,5.4094,1
524.1198,11.8750,-9.0000,5.2362,1
524.1398,11.8750,-9.0000,5.2007,1
524.1598,11.8750,-9.0000,5.2545,1
524.1798,11.8750,-9.0000,5.3712,1
524.1998,11.8750,-9.0000,5.5325,1
524.2198,11.8750,-9.0000,5.7258,1
524.2398,11.8750,-9.0000,5.9490,1
524.2598,11.8750,-9.0000,6.1915,1
524.2798,11.8750,-9.0000,6.4459,1
524.2998,11.8750,-9.0000,6.7071,1
524.3198,11.8750,-9.0000,6.9712,1
524.3398,11.8447,-9.0000,7.0573,1
524.3598,11.7931,-9.0000,7.0252,1
524.3798,11.7245,-9.0000,6.9134,1
524.3998,11.6425,-9.0000,6.7476,1
524.4198,11.5497,-9.0000,6.5454,1
524.4398,11.3935,-9.0000,6.3814,1
524.4598,11.1942,-9.0000,6.2424,1
524.4798,10.9657,-9.0000,6.1197,1
524.4998,10.7175,-9.0000,6.0074,1
524.5198,10.4560,-9.0000,5.9014,1
524.5398,10.1809,-9.0000,5.8322,1
524.5598,9.8965,-9.0000,5.7834,1
524.5798,9.6058,-9.0000,5.7439,1
524.5998,9.3114,-9.0000,5.7059,1
524.6198,9.0150,-9.0000,5.6644,1
524.6398,8.7495,-9.0000,5.5627,1
524.6598,8.5040,-9.0000,5.4212,1
524.6798,8.2708,-9.0000,5.2536,1
524.6998,8.0447,-9.0000,5.0694,1
524.7198,7.8224,-9.0000,4.8750,1
524.7398,7.6245,-9.0000,4.8278,1
524.7598,7.4399,-9.0000,4.8785,1
524.7798,7.2606,-9.0000,4.9934,1
524.7998,7.0814,-9.0000,5.1497,1
524.8198,6.8989,-9.0000,5.3319,1
524.8398,6.7205,-9.0000,5.3755,1
524.8598,6.5445,-9.0000,5.3255,1
524.8798,6.3696,-9.0000,5.2121,1
524.8998,6.1948,-9.0000,5.0559,1
524.9198,6.0196,-9.0000,4.8705,1
524.9398,5.9756,-9.0000,4.8085,1
524.9598,6.0213,-9.0000,4.8245,1
524.9798,6.1317,-9.0000,4.8893,1
524.9998,6.2892,-9.0000,4.9835,1
525.0198,6.4816,-9.0000,5.0933,1
525.0398,6.7015,-9.0000,5.2064,1
525.0598,6.9407,-9.0000,5.3210,1
525.0798,7.1933,-9.0000,5.4358,1
525.0998,7.4555,-9.0000,5.5498,1
525.1198,7.7247,-9.0000,5.6626,1
525.1398,7.9705,-9.0000,5.8136,1
525.1598,8.2020,-9.0000,5.9895,1
525.1798,8.4253,-9.0000,6.1808,1
525.1998,8.6445,-9.0000,6.3813,1
525.2198,8.8626,-9.0000,6.5866,1
525.2398,8.9315,-9.0000,6.7819,1
525.2598,8.9005,-9.0000,6.9722,1
