time,block_id,x,y,z,isLocked,isHeld
659.9998,Block0,-6.5647,-49.0000,4.3015,0,0
659.9998,Block1,-1.7668,-49.0000,6.9376,0,0
659.9998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.0198,Block0,-6.5648,-49.0000,4.3015,0,0
660.0198,Block1,-1.7668,-49.0000,6.9376,0,0
660.0198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.0398,Block0,-6.5648,-49.0000,4.3015,0,0
660.0398,Block1,-1.7668,-49.0000,6.9376,0,0
660.0398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.0598,Block0,-6.5648,-49.0000,4.3015,0,0
660.0598,Block1,-1.7668,-49.0000,6.9376,0,0
660.0598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.0798,Block0,-6.5648,-49.0000,4.3015,0,0
660.0798,Block1,-1.7668,-49.0000,6.9376,0,0
660.0798,Block2,-8.3952,-49.0000,-7.7418,0,0
660.0998,Block0,-6.5648,-49.0000,4.3015,0,0
660.0998,Block1,-1.7668,-49.0000,6.9376,0,0
660.0998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.1198,Block0,-6.5648,-49.0000,4.3015,0,0
660.1198,Block1,-1.7668,-49.0000,6.9376,0,0
660.1198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.1398,Block0,-6.5648,-49.0000,4.3015,0,0
660.1398,Block1,-1.7668,-49.0000,6.9376,0,0
660.1398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.1598,Block0,-6.5648,-49.0000,4.3015,0,0
660.1598,Block1,-1.7668,-49.0000,6.9376,0,0
660.1598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.1797,Block0,-6.5648,-49.0000,4.3015,0,0
660.1797,Block1,-1.7668,-49.0000,6.9376,0,0
660.1797,Block2,-8.3952,-49.0000,-7.7418,0,0
660.1998,Block0,-6.5648,-49.0000,4.3015,0,0
660.1998,Block1,-1.7668,-49.0000,6.9376,0,0
660.1998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.2198,Block0,-6.5648,-49.0000,4.3015,0,0
660.2198,Block1,-1.7668,-49.0000,6.9376,0,0
660.2198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.2397,Block0,-6.5648,-49.0000,4.3015,0,0
660.2397,Block1,-1.7668,-49.0000,6.9376,0,0
660.2397,Block2,-8.3952,-49.0000,-7.7418,0,0
660.2598,Block0,-6.5648,-49.0000,4.3015,0,0
660.2598,Block1,-1.7668,-49.0000,6.9376,0,0
660.2598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.2798,Block0,-6.5648,-49.0000,4.3015,0,0
660.2798,Block1,-1.7668,-49.0000,6.9376,0,0
660.2798,Block2,-8.3952,-49.0000,-7.7418,0,0
660.2997,Block0,-6.5648,-49.0000,4.3015,0,0
660.2997,Block1,-1.7668,-49.0000,6.9376,0,0
660.2997,Block2,-8.3952,-49.0000,-7.7418,0,0
660.3198,Block0,-6.5648,-49.0000,4.3015,0,0
660.3198,Block1,-1.7668,-49.0000,6.9376,0,0
660.3198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.3398,Block0,-6.5648,-49.0000,4.3015,0,0
660.3398,Block1,-1.7668,-49.0000,6.9376,0,0
660.3398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.3597,Block0,-6.5648,-49.0000,4.3015,0,0
660.3597,Block1,-1.7668,-49.0000,6.9376,0,0
660.3597,Block2,-8.3952,-49.0000,-7.7418,0,0
660.3798,Block0,-6.5648,-49.0000,4.3015,0,0
660.3798,Block1,-1.7668,-49.0000,6.9376,0,0
660.3798,Block2,-8.3952,-49.0000,-7.7418,0,0
660.3998,Block0,-6.5648,-49.0000,4.3015,0,0
660.3998,Block1,-1.7668,-49.0000,6.9376,0,0
660.3998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.4197,Block0,-6.5648,-49.0000,4.3015,0,0
660.4197,Block1,-1.7668,-49.0000,6.9376,0,0
660.4197,Block2,-8.3952,-49.0000,-7.7418,0,0
660.4398,Block0,-6.5648,-49.0000,4.3015,0,0
660.4398,Block1,-1.7668,-49.0000,6.9376,0,0
660.4398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.4598,Block0,-6.5648,-49.0000,4.3015,0,0
660.4598,Block1,-1.7668,-49.0000,6.9376,0,0
660.4598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.4797,Block0,-6.5648,-49.0000,4.3015,0,0
660.4797,Block1,-1.7668,-49.0000,6.9376,0,0
660.4797,Block2,-8.3952,-49.0000,-7.7418,0,0
660.4998,Block0,-6.5648,-49.0000,4.3015,0,0
660.4998,Block1,-1.7668,-49.0000,6.9376,0,0
660.4998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.5198,Block0,-6.5648,-49.0000,4.3015,0,0
660.5198,Block1,-1.7668,-49.0000,6.9376,0,0
660.5198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.5398,Block0,-6.5648,-49.0000,4.3015,0,0
660.5398,Block1,-1.7668,-49.0000,6.9376,0,0
660.5398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.5598,Block0,-6.5648,-49.0000,4.3015,0,0
660.5598,Block1,-1.7668,-49.0000,6.9376,0,0
660.5598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.5798,Block0,-6.5648,-49.0000,4.3015,0,0
660.5798,Block1,-1.7668,-49.0000,6.9376,0,0
660.5798,Block2,-8.3952,-49.0000,-7.7418,0,0
660.5998,Block0,-6.5648,-49.0000,4.3015,0,0
660.5998,Block1,-1.7668,-49.0000,6.9376,0,0
660.5998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6198,Block0,-6.5648,-49.0000,4.3015,0,0
660.6198,Block1,-1.7668,-49.0000,6.9376,0,0
660.6198,Block2,-8.3952,-49.0000,-7.7418,0,0
